Date,Close,High,Low,Open,Volume,SMA_50
2024-01-02,68.87033081054688,68.87952897367438,66.62645610514238,66.81038428697875,7829088,
2024-01-03,67.95990753173828,69.0634485325101,67.70241509930104,68.87032920818216,3692464,
2024-01-04,68.97148895263672,69.14621896981572,67.8679479358516,67.95990851789324,8593039,
2024-01-08,68.7415771484375,69.43129196932483,68.05186232755017,68.97148208873328,4558612,
2024-01-09,68.66801452636719,69.14622079140995,68.208204587903,68.74158580039574,7261794,
2024-01-10,67.45410919189453,68.78756207728432,67.45410919189453,68.66800701602816,4250096,
2024-01-11,67.87713623046875,68.04266807764492,67.46331012059952,67.45411195793908,4305633,
2024-01-14,68.19901275634766,68.41971956007556,67.69321902265578,67.87714018973858,2567187,
2024-01-15,69.52325439453125,69.93708750777463,68.55765782924766,68.19900667412202,11744413,
2024-01-16,70.34172058105469,70.36011690715186,69.16460829197148,69.52325947329706,12666959,
2024-01-17,69.05425262451172,70.53484117551601,69.05425262451172,70.3417218448819,8413289,
2024-01-18,69.2841567993164,69.88191111080872,69.0910374708914,69.05425183459957,5430478,
2024-01-21,68.87952423095703,69.40370723484813,68.60363548527023,69.2841521708508,2432916,
2024-01-22,70.81072235107422,70.87509545438407,68.97148280948788,68.87952223563697,11887998,
2024-01-23,70.81072235107422,71.62918338578878,69.88190441805334,70.81072235107422,14294709,
2024-01-24,69.5140609741211,71.04063329024241,69.4864735012514,70.81072832813807,9713279,
2024-01-28,71.17857360839844,71.17857360839844,69.76235828072544,69.51405700678401,4787336,
2024-01-29,77.2480697631836,77.2480697631836,71.2705405553182,71.17857997073347,16961134,
2024-01-30,81.8461685180664,82.30597845356115,75.96059994050498,77.24806916311886,13411406,
2024-01-31,81.01850128173828,87.80529975407894,79.08730114537045,81.84616048765082,16464997,
2024-02-01,78.16767883300781,80.87136314604432,75.8686294555664,81.01849865780677,5852000,
2024-02-04,74.61795043945312,78.6182951892101,73.56958442272074,78.16768344914078,3955284,
2024-02-05,71.63838195800781,74.93981358630143,70.902683330706,74.61794806791018,6989044,
2024-02-06,68.07025146484375,72.18095290959884,67.62883790962313,71.63838061961059,14644325,
2024-02-07,71.36249542236328,73.56038619371577,68.60363600900278,68.0702548385456,10933619,
2024-02-08,74.02020263671875,74.71911571438254,71.36250172829246,71.36250172829246,5367361,
2024-02-11,73.15576171875,74.02939776793943,71.7487374576753,74.02019960493901,1627698,
2024-02-12,76.43880462646484,77.70787749645356,72.4200633472866,73.15576203536689,8148719,
2024-02-13,74.54438018798828,76.3192467170424,73.58797473550986,76.4388017836912,20458552,
2024-02-14,75.39962768554688,75.77667518253698,74.05698357945253,74.5443809654017,3307297,
2024-02-15,74.48920440673828,75.63872916610153,74.30528325169709,75.39962605163412,3992792,
2024-02-18,74.48920440673828,74.48920440673828,74.48920440673828,74.48920440673828,0,
2024-02-19,75.8686294555664,76.69628863467369,74.76508856085128,74.79267603079788,7408735,
2024-02-20,74.48920440673828,75.86863411797417,74.25929945486563,75.86863411797417,12048282,
2024-02-21,74.04778289794922,75.22490213056567,73.6339567961439,74.48920348719817,3429273,
2024-02-22,74.4432144165039,74.75588877343137,73.84546720427927,74.04777765153615,4694156,
2024-02-25,67.13224792480469,69.89110742856379,65.29300825563195,74.44322280330927,8536316,
2024-02-26,68.51167297363281,70.8107224022782,66.77359216686826,67.13224331644557,10907584,
2024-02-27,68.77836608886719,69.06344598338005,67.31616694986457,68.51167550335998,7884354,
2024-02-28,68.04267120361328,69.89110907930971,67.78517876643023,68.77836989511573,4650211,
2024-02-29,67.22420501708984,68.96228585298591,66.9023394949132,68.04266606611425,5228341,
2024-03-03,65.53211212158203,66.6724387649032,64.37338915232033,67.22420926869457,2639597,
2024-03-04,68.5208740234375,69.79914499834119,65.53210964024757,65.53210964024757,7663435,
2024-03-05,69.89110565185547,69.89110565185547,67.50929370857347,68.52087409767448,18186916,
2024-03-06,69.70718383789062,76.78825351088014,69.15540634346148,69.89110499193882,20376648,
2024-03-07,76.32844543457031,76.55835039069854,70.07502782142565,69.70718550453445,19580992,
2024-03-10,81.5242919921875,82.21400680258478,78.16767851169233,76.32843901729957,5472280,
2024-03-11,88.7433090209961,89.66292880359708,81.61625570583837,81.5242951308067,17687772,
2024-03-12,86.4534683227539,87.36389005459225,83.23479868916367,88.74331989755949,15728799,
2024-03-13,80.5586929321289,86.44426104478987,79.10569196686362,86.45345920729318,6440290,72.56885452270508
2024-03-14,82.76577758789062,84.4210959461052,78.2044644649839,80.5586887823185,8260973,72.84676345825196
2024-03-17,84.28315734863281,85.70856385051724,83.68540306635892,82.76578325244289,1897965,73.17322845458985
2024-03-18,81.3863525390625,84.60502184851696,81.23001885647743,84.28315632079996,7207722,73.42152572631836
2024-03-19,78.44356536865234,81.34036189021631,78.1676766446264,81.38634568293453,5596448,73.61556549072266
2024-03-20,78.34241485595703,79.82300333018861,77.8917960917005,78.44357359763563,3295782,73.80905349731445
2024-03-21,77.98375701904297,79.08729790427378,77.9377732254326,78.34240815755008,3976565,74.01964645385742
2024-03-24,77.98375701904297,78.76543239742661,77.91938391767354,77.98375701904297,1181260,74.2217788696289
2024-03-25,78.16767883300781,78.42517124069855,77.26644838994834,77.98375768926925,2820384,74.42115219116211
2024-03-26,77.1561050415039,79.17006769565005,77.1561050415039,78.16768544998105,2766170,74.57380920410156
2024-03-27,75.88702392578125,77.14690559613506,74.44322109917745,77.15610375879027,5230440,74.6847152709961
2024-03-28,73.56958770751953,76.23648666514565,73.56958770751953,75.88702663320365,2901299,74.77502197265625
2024-03-31,70.79234313964844,74.25010891937866,68.97149264667331,73.56959215645153,2049514,74.8051856994629
2024-04-01,75.40882110595703,75.40882110595703,70.95786478891458,70.79233294974362,1822757,74.9357716369629
2024-04-02,73.56958770751953,75.86863732337952,73.56958770751953,75.40882740020753,5246216,74.9909489440918
2024-04-03,73.74430847167969,74.48000004677094,72.88906184123157,73.56957847762996,4091809,75.04962066650391
2024-04-04,74.71910858154297,75.40882342998798,73.75350498726304,73.7443138409062,4463617,75.15372161865234
